Refracted (smudge)
AnglePr AngleTab uPol vPol hPol     
85      -4       4.7  3.3  0.04  
80      -34      45   35   0.1 
75      -31      58   45   0.15
70      -31      63   50   0.15
65      -29      60   49   2.8
64      -27      32   23   2.3
63      -24      51   36   2.1
62      -25      82   61   3.0
61      -25      32   24   2.3
60      -23      45   34   2.6
59      -25      85   67   2.2
58      -24      86   70   2.3
57      -23      34   27   2.1
56      -23      30   25   2.1
55      -22      

Reflected
AnglePr AngleTab uPol    vPol    hPol
85      23       61      49      0.13
80      29       81      59      0.12
75      43       55      42      0.08
70      48       46      34      0.06
65      55       33      24      2.0
64      55       42      31      2.0
63      56       37      28      2.0
62      61       37      27      2.0
61      64       30      22      2.0
60      64       31      23      2.0
59      67       27      21      2.0
58      69       27      21      2.0
57      71       29      21      2.1
56      73       24      19      2.1
55      74       19      15      2.2
54      74       23      17      2.2
53      75       22      17      2.1
52      76       19      14      2.2
51      79       18      14      2.2
50      80       23      17      2.2
45      105      14      11      2.2
40      108      10      8.0     2.1
35      112      9       7.0     2.2
30      126      5.0     4.2     2.1
25      133      5.7     4.8     2.2
           
