Set,Run #1,Run #1,Run #1,Run #1
Angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
0,11/27/2018 02:36:04 pm,22.300,10.0,9.95
10,11/27/2018 02:36:46 pm,64.950,9.8,9.84
20,11/27/2018 02:37:08 pm,86.100,9.7,9.74
30,11/27/2018 02:37:19 pm,97.900,9.5,9.53
40,11/27/2018 02:37:33 pm,111.600,9.2,9.24
50,11/27/2018 02:37:41 pm,119.900,8.9,8.90
60,11/27/2018 02:37:49 pm,127.550,8.6,8.59
70,11/27/2018 02:37:55 pm,133.900,8.4,8.39
80,11/27/2018 02:38:03 pm,141.150,8.3,8.29
90,11/27/2018 02:38:09 pm,147.200,8.2,8.23
100,11/27/2018 02:38:15 pm,153.500,8.2,8.18
110,11/27/2018 02:38:23 pm,161.150,8.3,8.33
120,11/27/2018 02:38:32 pm,170.000,8.6,8.65
130,11/27/2018 02:38:40 pm,178.100,9.0,9.02
140,11/27/2018 02:38:48 pm,186.400,9.3,9.29
150,11/27/2018 02:38:55 pm,193.800,9.6,9.59
160,11/27/2018 02:39:03 pm,201.150,9.8,9.77
170,11/27/2018 02:39:10 pm,208.800,9.9,9.85
180,11/27/2018 02:39:18 pm,216.000,9.9,9.92
190,11/27/2018 02:39:26 pm,224.400,9.9,9.91
200,11/27/2018 02:39:33 pm,231.900,9.8,9.75
210,11/27/2018 02:39:42 pm,240.550,9.5,9.54
220,11/27/2018 02:39:50 pm,248.450,9.2,9.22
230,11/27/2018 02:39:58 pm,256.000,8.9,8.93
240,11/27/2018 02:40:04 pm,262.650,8.6,8.63
250,11/27/2018 02:40:09 pm,267.850,8.4,8.44
260,11/27/2018 02:40:15 pm,273.250,8.3,8.28
270,11/27/2018 02:40:23 pm,281.100,8.2,8.20
280,11/27/2018 02:40:34 pm,292.650,8.3,8.28
290,11/27/2018 02:40:43 pm,301.850,8.4,8.44
300,11/27/2018 02:40:51 pm,309.500,8.8,8.78
310,11/27/2018 02:40:59 pm,317.450,9.0,8.99
320,11/27/2018 02:41:05 pm,323.450,9.3,9.29
330,11/27/2018 02:41:13 pm,331.100,9.6,9.62
340,11/27/2018 02:41:19 pm,337.900,9.8,9.82
350,11/27/2018 02:41:25 pm,343.650,9.9,9.94
360,11/27/2018 02:42:32 pm,410.350,10.1,10.10
,11/27/2018 02:42:32 pm,410.400,10.1,10.11
,11/27/2018 02:42:32 pm,410.450,10.1,10.10
,11/27/2018 02:42:32 pm,410.500,10.1,10.11
,11/27/2018 02:42:32 pm,410.550,10.1,10.10
,11/27/2018 02:42:32 pm,410.600,10.1,10.11
,11/27/2018 02:42:32 pm,410.650,10.1,10.11
,11/27/2018 02:42:32 pm,410.700,10.1,10.10
,11/27/2018 02:42:32 pm,410.750,10.1,10.11
,11/27/2018 02:42:32 pm,410.800,10.1,10.11
,11/27/2018 02:42:32 pm,410.850,10.1,10.11
,11/27/2018 02:42:32 pm,410.900,10.1,10.11
,11/27/2018 02:42:32 pm,410.950,10.1,10.11
,11/27/2018 02:42:33 pm,411.000,10.1,10.11
,11/27/2018 02:42:33 pm,411.050,10.1,10.11
,11/27/2018 02:42:33 pm,411.100,10.1,10.11
,11/27/2018 02:42:33 pm,411.150,10.1,10.10
,11/27/2018 02:42:33 pm,411.200,10.1,10.11
,11/27/2018 02:42:33 pm,411.250,10.1,10.10
,11/27/2018 02:42:33 pm,411.300,10.1,10.10
,11/27/2018 02:42:33 pm,411.350,10.1,10.11
,11/27/2018 02:42:33 pm,411.400,10.1,10.11
,11/27/2018 02:42:33 pm,411.450,10.1,10.10
,11/27/2018 02:42:33 pm,411.500,10.1,10.11
,11/27/2018 02:42:33 pm,411.550,10.1,10.11
,11/27/2018 02:42:33 pm,411.600,10.1,10.11
,11/27/2018 02:42:33 pm,411.650,10.1,10.10
,11/27/2018 02:42:33 pm,411.700,10.1,10.12
,11/27/2018 02:42:33 pm,411.750,10.1,10.10
,11/27/2018 02:42:33 pm,411.800,10.1,10.10
,11/27/2018 02:42:33 pm,411.850,10.1,10.11
,11/27/2018 02:42:33 pm,411.900,10.1,10.10
,11/27/2018 02:42:33 pm,411.950,10.1,10.12
,11/27/2018 02:42:34 pm,412.000,10.1,10.10
,11/27/2018 02:42:34 pm,412.050,10.1,10.10
,11/27/2018 02:42:34 pm,412.100,10.1,10.11
,11/27/2018 02:42:34 pm,412.150,10.1,10.12
,11/27/2018 02:42:34 pm,412.200,10.1,10.11
,11/27/2018 02:42:34 pm,412.250,10.1,10.11
,11/27/2018 02:42:34 pm,412.300,10.1,10.12
,11/27/2018 02:42:34 pm,412.350,10.1,10.11
,11/27/2018 02:42:34 pm,412.400,10.1,10.10
,11/27/2018 02:42:34 pm,412.450,10.1,10.12
,11/27/2018 02:42:34 pm,412.500,10.1,10.11
,11/27/2018 02:42:34 pm,412.550,10.1,10.12
,11/27/2018 02:42:34 pm,412.600,10.1,10.10
,11/27/2018 02:42:34 pm,412.650,10.1,10.10
,11/27/2018 02:42:34 pm,412.700,10.1,10.11
,11/27/2018 02:42:34 pm,412.750,10.1,10.10
,11/27/2018 02:42:34 pm,412.800,10.1,10.11
,11/27/2018 02:42:34 pm,412.850,10.1,10.11
,11/27/2018 02:42:34 pm,412.900,10.1,10.12
,11/27/2018 02:42:34 pm,412.950,10.1,10.11
,11/27/2018 02:42:35 pm,413.000,10.1,10.12
,11/27/2018 02:42:35 pm,413.050,10.1,10.13
,11/27/2018 02:42:35 pm,413.100,10.1,10.12
,11/27/2018 02:42:35 pm,413.150,10.1,10.13
,11/27/2018 02:42:35 pm,413.200,10.1,10.13
,11/27/2018 02:42:35 pm,413.250,10.1,10.12
,11/27/2018 02:42:35 pm,413.300,10.1,10.12
,11/27/2018 02:42:35 pm,413.350,10.1,10.11
,11/27/2018 02:42:35 pm,413.400,10.1,10.11
,11/27/2018 02:42:35 pm,413.450,10.1,10.11
,11/27/2018 02:42:35 pm,413.500,10.1,10.11
