Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
-45,11/06/2018 03:54:11 pm,24.350,0.0,0.04
-44,11/06/2018 03:54:16 pm,29.650,0.1,0.08
-43,11/06/2018 03:54:21 pm,34.650,0.1,0.05
-42,11/06/2018 03:54:26 pm,39.200,0.2,0.17
-41,11/06/2018 03:54:32 pm,45.700,0.2,0.22
-40,11/06/2018 03:54:37 pm,50.500,0.1,0.07
-39,11/06/2018 03:54:43 pm,56.100,0.1,0.06
-38,11/06/2018 03:54:47 pm,60.650,0.7,0.73
-37,11/06/2018 03:54:52 pm,65.800,0.1,0.11
-36,11/06/2018 03:54:57 pm,70.500,0.1,0.12
-35,11/06/2018 03:55:02 pm,75.350,0.1,0.12
-34,11/06/2018 03:55:09 pm,82.200,0.1,0.12
-33,11/06/2018 03:55:14 pm,87.200,0.2,0.17
-32,11/06/2018 03:55:20 pm,93.550,0.4,0.38
-31,11/06/2018 03:55:27 pm,100.600,0.2,0.21
-30,11/06/2018 03:55:35 pm,108.300,0.2,0.16
-29,11/06/2018 03:55:40 pm,113.700,0.2,0.16
-28,11/06/2018 03:55:45 pm,118.350,0.2,0.15
-27,11/06/2018 03:55:51 pm,124.450,0.2,0.21
-26,11/06/2018 03:55:56 pm,129.750,0.2,0.19
-25,11/06/2018 03:56:02 pm,135.000,0.2,0.21
-24,11/06/2018 03:56:07 pm,140.450,0.2,0.20
-23,11/06/2018 03:56:12 pm,145.150,0.3,0.25
-22,11/06/2018 03:56:17 pm,150.950,0.3,0.30
-21,11/06/2018 03:56:23 pm,156.500,0.7,0.69
-20,11/06/2018 03:56:28 pm,161.800,7.8,7.81
-19,11/06/2018 03:56:34 pm,167.750,0.4,0.36
-18,11/06/2018 03:56:39 pm,172.950,0.3,0.30
-17,11/06/2018 03:56:46 pm,179.250,0.4,0.42
-16,11/06/2018 03:56:53 pm,186.300,0.4,0.36
-15,11/06/2018 03:56:58 pm,191.950,2.7,2.67
-14,11/06/2018 03:57:04 pm,197.250,2.6,2.59
-13,11/06/2018 03:57:10 pm,203.750,1.2,1.21
-12,11/06/2018 03:57:17 pm,210.950,0.1,0.06
-11,11/06/2018 03:57:23 pm,216.800,0.1,0.06
-10,11/06/2018 03:57:31 pm,224.700,0.1,0.06
-9,11/06/2018 03:57:36 pm,229.650,0.1,0.06
-8,11/06/2018 03:57:46 pm,239.250,0.1,0.06
-7,11/06/2018 03:57:54 pm,247.000,0.1,0.07
-6,11/06/2018 03:58:00 pm,253.650,0.1,0.07
-5,11/06/2018 03:58:07 pm,260.300,0.1,0.09
-4,11/06/2018 03:58:13 pm,266.050,0.1,0.08
-3,11/06/2018 03:58:17 pm,270.350,0.4,0.44
-2,11/06/2018 03:58:21 pm,274.650,1.0,0.98
-1,11/06/2018 03:58:35 pm,288.800,0.6,0.61
0,11/06/2018 03:58:42 pm,295.600,3.9,3.91
1,11/06/2018 03:58:49 pm,302.400,24.6,24.60
2,11/06/2018 03:58:59 pm,312.600,0.1,0.10
3,11/06/2018 03:59:17 pm,330.950,0.1,0.11
4,11/06/2018 03:59:23 pm,336.650,0.1,0.07
5,11/06/2018 03:59:30 pm,343.650,0.1,0.08
6,11/06/2018 03:59:36 pm,349.250,0.1,0.06
7,11/06/2018 03:59:41 pm,354.900,0.1,0.06
8,11/06/2018 03:59:46 pm,359.850,0.1,0.05
9,11/06/2018 03:59:59 pm,372.000,0.1,0.05
10,11/06/2018 04:00:05 pm,378.000,0.0,0.05
11,11/06/2018 04:00:12 pm,385.100,0.0,0.05
12,11/06/2018 04:00:17 pm,390.650,0.1,0.14
13,11/06/2018 04:00:23 pm,396.700,0.8,0.84
14,11/06/2018 04:00:29 pm,402.750,0.9,0.86
15,11/06/2018 04:00:35 pm,408.250,0.2,0.16
16,11/06/2018 04:00:42 pm,415.100,1.0,1.03
17,11/06/2018 04:00:47 pm,420.300,0.1,0.14
18,11/06/2018 04:00:52 pm,425.250,0.6,0.64
19,11/06/2018 04:00:58 pm,431.400,0.4,0.42
20,11/06/2018 04:01:03 pm,436.700,2.6,2.56
21,11/06/2018 04:01:10 pm,443.550,0.1,0.14
22,11/06/2018 04:01:16 pm,449.600,0.1,0.14
23,11/06/2018 04:01:21 pm,454.750,0.1,0.11
24,11/06/2018 04:01:28 pm,461.050,0.1,0.11
25,11/06/2018 04:01:33 pm,466.250,0.1,0.12
26,11/06/2018 04:01:38 pm,471.950,0.1,0.10
27,11/06/2018 04:01:45 pm,478.000,0.1,0.11
28,11/06/2018 04:01:50 pm,483.300,0.1,0.10
