Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
-45,11/06/2018 03:00:38 pm,3.400,0.0,0.05
-44,11/06/2018 03:00:48 pm,13.900,0.1,0.06
-43,11/06/2018 03:00:59 pm,24.450,0.0,0.04
-42,11/06/2018 03:01:16 pm,41.400,0.0,0.04
-41,11/06/2018 03:01:34 pm,59.000,0.0,0.04
-40,11/06/2018 03:01:45 pm,70.000,0.0,0.04
-39,11/06/2018 03:01:58 pm,83.950,0.0,0.04
-38,11/06/2018 03:02:16 pm,101.450,0.0,0.04
-37,11/06/2018 03:02:56 pm,141.400,0.0,0.04
-36,11/06/2018 03:03:09 pm,154.150,0.0,0.04
-35,11/06/2018 03:03:20 pm,165.200,0.0,0.04
-34,11/06/2018 03:03:33 pm,178.600,0.0,0.04
-33,11/06/2018 03:03:47 pm,192.450,0.0,0.04
-32,11/06/2018 03:03:57 pm,202.150,0.0,0.04
-31,11/06/2018 03:04:07 pm,212.600,0.0,0.04
-30,11/06/2018 03:04:16 pm,221.300,0.1,0.07
-29,11/06/2018 03:04:29 pm,234.150,0.1,0.08
-28,11/06/2018 03:04:37 pm,242.000,0.0,0.04
-27,11/06/2018 03:04:44 pm,249.600,0.0,0.04
-26,11/06/2018 03:04:52 pm,257.900,0.0,0.04
-25,11/06/2018 03:04:59 pm,264.650,0.0,0.04
-24,11/06/2018 03:05:13 pm,278.800,0.0,0.04
-23,11/06/2018 03:05:26 pm,291.700,0.0,0.04
-22,11/06/2018 03:05:39 pm,304.050,0.0,0.04
-21,11/06/2018 03:05:49 pm,314.700,0.3,0.33
-20,11/06/2018 03:05:57 pm,322.150,0.5,0.51
-19,11/06/2018 03:06:06 pm,331.000,0.1,0.05
-18,11/06/2018 03:06:13 pm,338.500,0.0,0.04
-17,11/06/2018 03:06:22 pm,347.950,0.0,0.04
-16,11/06/2018 03:06:30 pm,355.900,0.0,0.04
-15,11/06/2018 03:06:39 pm,364.000,0.0,0.04
-14,11/06/2018 03:06:46 pm,371.000,0.0,0.04
-13,11/06/2018 03:06:53 pm,378.800,0.0,0.04
-12,11/06/2018 03:07:03 pm,388.800,0.0,0.04
-11,11/06/2018 03:07:12 pm,397.750,0.0,0.04
-10,11/06/2018 03:07:23 pm,408.400,0.0,0.04
-9,11/06/2018 03:07:37 pm,422.600,0.0,0.04
-8,11/06/2018 03:07:50 pm,435.000,0.0,0.04
-7,11/06/2018 03:07:59 pm,444.500,0.0,0.04
-6,11/06/2018 03:08:13 pm,458.350,0.0,0.04
-5,11/06/2018 03:08:24 pm,469.500,0.0,0.04
-4,11/06/2018 03:08:37 pm,482.500,0.0,0.04
-3,11/06/2018 03:08:45 pm,490.950,0.0,0.04
-2,11/06/2018 03:08:54 pm,499.000,0.0,0.05
-1,11/06/2018 03:09:01 pm,506.300,0.1,0.12
0,11/06/2018 03:09:14 pm,519.400,3.3,3.33
1,11/06/2018 03:09:30 pm,535.000,0.3,0.29
2,11/06/2018 03:09:47 pm,552.300,0.0,0.05
3,11/06/2018 03:09:58 pm,563.700,0.0,0.04
4,11/06/2018 03:10:12 pm,577.050,0.0,0.04
5,11/06/2018 03:10:22 pm,587.950,0.0,0.04
