Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
-45,11/06/2018 03:20:39 pm,3.800,0.0,0.03
-44,11/06/2018 03:20:48 pm,12.150,0.0,0.03
-43,11/06/2018 03:20:56 pm,20.050,0.0,0.03
-42,11/06/2018 03:21:04 pm,28.800,0.0,0.03
-41,11/06/2018 03:21:12 pm,36.900,0.0,0.03
-40,11/06/2018 03:21:20 pm,44.050,0.0,0.03
-39,11/06/2018 03:21:27 pm,51.200,0.0,0.03
-38,11/06/2018 03:21:35 pm,59.550,0.0,0.03
-37,11/06/2018 03:21:42 pm,66.150,0.0,0.03
-36,11/06/2018 03:21:50 pm,74.100,0.0,0.03
-35,11/06/2018 03:21:56 pm,80.200,0.0,0.03
-34,11/06/2018 03:22:04 pm,88.100,0.0,0.03
-33,11/06/2018 03:22:10 pm,94.300,0.0,0.03
-32,11/06/2018 03:22:19 pm,103.400,0.0,0.03
-31,11/06/2018 03:22:28 pm,112.000,0.0,0.03
-30,11/06/2018 03:22:35 pm,119.100,0.0,0.03
-29,11/06/2018 03:22:42 pm,126.000,0.0,0.04
-28,11/06/2018 03:22:49 pm,133.300,0.0,0.03
-27,11/06/2018 03:22:55 pm,139.600,0.0,0.03
-26,11/06/2018 03:23:02 pm,146.200,0.0,0.03
-25,11/06/2018 03:23:08 pm,152.400,0.0,0.03
-24,11/06/2018 03:23:16 pm,160.200,0.0,0.03
-23,11/06/2018 03:23:23 pm,167.450,0.0,0.03
-22,11/06/2018 03:23:31 pm,175.100,0.0,0.03
-21,11/06/2018 03:23:42 pm,186.100,0.0,0.04
-20,11/06/2018 03:23:49 pm,193.650,0.1,0.05
-19,11/06/2018 03:24:00 pm,204.650,0.0,0.03
-18,11/06/2018 03:24:09 pm,213.450,0.0,0.03
-17,11/06/2018 03:24:24 pm,228.950,0.0,0.03
-16,11/06/2018 03:24:31 pm,235.600,0.0,0.03
-15,11/06/2018 03:24:46 pm,250.750,0.0,0.03
-14,11/06/2018 03:24:56 pm,260.100,0.0,0.03
-13,11/06/2018 03:25:05 pm,269.550,0.0,0.03
-12,11/06/2018 03:25:16 pm,280.450,0.0,0.03
-11,11/06/2018 03:25:23 pm,287.600,0.0,0.03
-10,11/06/2018 03:25:30 pm,294.700,0.0,0.03
-9,11/06/2018 03:25:41 pm,305.450,0.0,0.03
-8,11/06/2018 03:25:50 pm,314.400,0.0,0.03
-7,11/06/2018 03:26:02 pm,326.550,0.0,0.03
