Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
-45,11/06/2018 03:35:00 pm,23.500,0.0,0.03
-44,11/06/2018 03:35:06 pm,29.500,0.0,0.03
-43,11/06/2018 03:35:19 pm,42.300,0.0,0.03
-42,11/06/2018 03:36:12 pm,95.700,0.0,0.03
-41,11/06/2018 03:36:19 pm,102.600,0.0,0.03
-40,11/06/2018 03:36:24 pm,107.950,0.0,0.03
-39,11/06/2018 03:36:30 pm,113.150,0.0,0.03
-38,11/06/2018 03:36:34 pm,117.550,0.0,0.03
-37,11/06/2018 03:36:40 pm,123.650,0.0,0.03
-36,11/06/2018 03:36:45 pm,128.600,0.0,0.03
-35,11/06/2018 03:36:51 pm,134.250,0.0,0.03
-34,11/06/2018 03:36:56 pm,139.200,0.0,0.03
-33,11/06/2018 03:37:03 pm,146.800,0.0,0.03
-32,11/06/2018 03:37:09 pm,152.300,0.0,0.03
-31,11/06/2018 03:37:14 pm,157.000,0.0,0.03
-30,11/06/2018 03:37:18 pm,161.400,0.0,0.03
-29,11/06/2018 03:37:22 pm,165.500,0.1,0.07
-28,11/06/2018 03:37:27 pm,170.050,0.1,0.07
-27,11/06/2018 03:37:30 pm,173.900,0.0,0.04
-26,11/06/2018 03:37:36 pm,179.850,0.0,0.04
-25,11/06/2018 03:37:41 pm,184.000,0.0,0.03
-24,11/06/2018 03:37:45 pm,188.700,0.0,0.03
-23,11/06/2018 03:37:50 pm,193.150,0.0,0.03
-22,11/06/2018 03:37:54 pm,197.650,0.0,0.03
-21,11/06/2018 03:37:59 pm,202.300,0.0,0.03
-20,11/06/2018 03:38:10 pm,213.350,0.1,0.05
-19,11/06/2018 03:38:16 pm,219.150,0.0,0.04
-18,11/06/2018 03:38:21 pm,224.450,0.0,0.03
-17,11/06/2018 03:38:27 pm,230.100,0.0,0.03
-16,11/06/2018 03:38:32 pm,235.400,0.0,0.03
-15,11/06/2018 03:38:37 pm,240.250,0.0,0.03
-14,11/06/2018 03:38:44 pm,247.250,0.0,0.03
-13,11/06/2018 03:38:48 pm,251.000,0.0,0.03
-12,11/06/2018 03:38:52 pm,255.650,0.0,0.03
-11,11/06/2018 03:38:57 pm,260.100,0.0,0.03
-10,11/06/2018 03:39:01 pm,264.200,0.0,0.03
-9,11/06/2018 03:39:05 pm,268.700,0.0,0.03
-8,11/06/2018 03:39:10 pm,273.850,0.0,0.03
-7,11/06/2018 03:39:15 pm,278.300,0.0,0.03
-6,11/06/2018 03:39:19 pm,282.650,0.0,0.03
-5,11/06/2018 03:39:24 pm,287.450,0.0,0.03
-4,11/06/2018 03:40:14 pm,337.900,0.0,0.03
-3,11/06/2018 03:40:21 pm,344.450,0.0,0.03
-2,11/06/2018 03:40:27 pm,350.250,0.0,0.03
-1,11/06/2018 03:40:33 pm,356.750,0.0,0.04
0,11/06/2018 03:40:38 pm,361.800,0.0,0.04
1,11/06/2018 03:40:46 pm,369.100,0.1,0.14
2,11/06/2018 03:40:56 pm,379.050,0.0,0.03
3,11/06/2018 03:41:02 pm,385.350,0.0,0.05
4,11/06/2018 03:41:19 pm,402.500,0.0,0.03
5,11/06/2018 03:41:25 pm,408.800,0.0,0.03
6,11/06/2018 03:41:33 pm,416.700,0.0,0.03
7,11/06/2018 03:41:38 pm,421.550,0.0,0.03
8,11/06/2018 03:41:43 pm,426.350,0.0,0.03
9,11/06/2018 03:41:55 pm,438.950,0.0,0.03
10,11/06/2018 03:42:01 pm,444.250,0.0,0.03
11,11/06/2018 03:42:06 pm,449.400,0.0,0.03
12,11/06/2018 03:42:10 pm,453.950,0.0,0.03
13,11/06/2018 03:42:15 pm,458.550,0.0,0.03
14,11/06/2018 03:42:20 pm,463.050,0.0,0.03
15,11/06/2018 03:42:24 pm,467.850,0.0,0.03
16,11/06/2018 03:42:29 pm,472.350,0.0,0.03
17,11/06/2018 03:42:33 pm,476.550,0.0,0.03
18,11/06/2018 03:43:09 pm,512.150,0.0,0.03
19,11/06/2018 03:43:14 pm,517.250,0.0,0.03
20,11/06/2018 03:43:41 pm,544.300,0.0,0.03
21,11/06/2018 03:43:46 pm,549.950,0.1,0.05
22,11/06/2018 03:43:57 pm,560.100,0.0,0.03
23,11/06/2018 03:44:05 pm,568.150,0.0,0.03
24,11/06/2018 03:44:13 pm,576.300,0.0,0.03
25,11/06/2018 03:44:20 pm,583.200,0.0,0.03
26,11/06/2018 03:44:28 pm,591.100,0.0,0.03
27,11/06/2018 03:44:34 pm,597.350,0.0,0.03
28,11/06/2018 03:44:40 pm,603.400,0.0,0.03
29,11/06/2018 03:44:44 pm,607.900,0.0,0.05
30,11/06/2018 03:44:50 pm,613.400,0.0,0.04
31,11/06/2018 03:44:56 pm,619.200,0.0,0.03
32,11/06/2018 03:45:01 pm,624.100,0.0,0.03
33,11/06/2018 03:45:06 pm,629.250,0.0,0.03
34,11/06/2018 03:45:12 pm,635.450,0.0,0.03
35,11/06/2018 03:45:17 pm,640.000,0.0,0.03
36,11/06/2018 03:45:21 pm,644.700,0.0,0.03
37,11/06/2018 03:45:31 pm,654.600,0.0,0.03
38,11/06/2018 03:45:35 pm,658.850,0.0,0.03
39,11/06/2018 03:45:40 pm,663.850,0.0,0.03
40,11/06/2018 03:45:46 pm,669.250,0.0,0.03
41,11/06/2018 03:45:50 pm,673.350,0.0,0.03
42,11/06/2018 03:45:55 pm,678.550,0.0,0.03
43,11/06/2018 03:46:02 pm,685.050,0.0,0.03
44,11/06/2018 03:46:08 pm,691.050,0.0,0.03
45,11/06/2018 03:46:13 pm,696.350,0.0,0.03
,11/06/2018 03:46:13 pm,696.400,0.0,0.03
,11/06/2018 03:46:13 pm,696.450,0.0,0.03
,11/06/2018 03:46:13 pm,696.500,0.0,0.03
,11/06/2018 03:46:13 pm,696.550,0.0,0.03
,11/06/2018 03:46:13 pm,696.600,0.0,0.03
,11/06/2018 03:46:13 pm,696.650,0.0,0.03
,11/06/2018 03:46:13 pm,696.700,0.0,0.03
,11/06/2018 03:46:13 pm,696.750,0.0,0.03
,11/06/2018 03:46:13 pm,696.800,0.0,0.03
,11/06/2018 03:46:13 pm,696.850,0.0,0.03
,11/06/2018 03:46:13 pm,696.900,0.0,0.03
,11/06/2018 03:46:13 pm,696.950,0.0,0.03
,11/06/2018 03:46:14 pm,697.000,0.0,0.03
,11/06/2018 03:46:14 pm,697.050,0.0,0.03
,11/06/2018 03:46:14 pm,697.100,0.0,0.03
,11/06/2018 03:46:14 pm,697.150,0.0,0.03
